Room No.,Meter No.,[previous] Units T.,present units,[present] UNITS,[present] BILL,Rent,Gas Bill,Service Charge,Total W BILLS,Previous Due,Paid,Due,Occupied,TOTAL W. OC,advance paid
1A,57438,11273,11318,45,405,7500,1080,500,9485,0,,9485,1,9485,
1B,57414,14520,14610,90,810,7500,1080,500,9890,0,,9890,1,9890,
2A,57437,20045,20145,100,900,7500,1080,500,9980,0,,9980,1,9980,
2B,57412,12990,13073,83,747,7000,1080,500,9327,0,,9327,1,9327,
2C,57436,17143,17292,149,1341,7500,1080,500,10421,0,,10421,1,10421,
3BC,88548,,,0,0,0,1080,500,1580,0,,1580,1,1580,
4A,830186,66123,66238,115,1035,7000,1080,500,9615,0,,9615,1,9615,
4B,57419,13827,13963,136,1224,6500,1080,500,9304,0,,9304,1,9304,
4C,57440,14860,15010,150,1350,7000,1080,500,9930,0,,9930,1,9930,
5A,57413,15291,15350,59,531,7000,1080,500,9111,0,,9111,1,9111,
5B,57439,18521,18598,77,693,7000,1080,500,9273,0,,9273,1,9273,
5C,57420,21643,21822,179,1611,7000,1080,500,10191,0,,10191,1,10191,
6A,57417,9405,9494,89,801,7000,1080,500,9381,0,,9381,1,9381,
6B,57411,10796,10925,129,1161,7000,1080,500,9741,0,,9741,1,9741,
6C,57418,13748,14175,427,4270,7000,1080,500,12850,0,,12850,1,12850,
7A,10368023,20630,20711,81,729,7000,1080,500,9309,0,,9360,1,9360,
7B,43256,14004,14221,217,2170,7000,1080,500,10750,0,,10750,1,10750,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
1A,,5035,5146,111,999,5500,1080,400,7979,0,,7979,1,7979,
1B,,9108,9139,31,279,7500,1080,400,9259,0,,12000,1,12000,
2A,,20224,20382,158,1422,,1080,400,2902,0,,2902,1,2902,
2B,,9297,9722,425,4250,7000,1080,400,12730,0,,12730,1,12730,
3A,,6124,6144,20,180,8000,1080,400,9660,0,,9660,1,9660,
3B,,6504,6534,30,270,7000,1080,400,8750,0,,8750,1,8750,
,, ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,148500,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Bill to give,Bill taken,,,,,,,,
,,,,,,34982,27178,,,,,,,,
,,,,,,without 1 meter,,,,,,,,,
,,,,,,29499,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Units,,,,,,,,,
,,,,,,3124,28116,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,9.442701665,,,,,,,,,
