Room No.,Meter No.,[previous] Units T.,present units,[present] UNITS,[present] BILL,Rent,Gas Bill,Service Charge,Total W BILLS,Previous Due,Paid,Due,Occupied,TOTAL W. OC,advance paid
1A,57438,11230,11273,43,387,7500,1080,500,9467,0,,9467,1,9467,
1B,57414,14441,14520,79,711,7500,1080,500,9791,0,,9791,1,9791,
2A,57437,19942,20045,103,927,7500,1080,500,10007,0,,10007,1,10007,
2B,57412,12911,12990,79,711,7000,1080,500,9291,0,,9291,1,9291,
2C,57436,16978,17143,165,1485,7500,1080,500,10565,0,,10565,1,10565,
3BC,88548,,,0,0,0,1080,500,1580,0,,1580,1,1580,
4A,830186,66027,66123,96,864,7000,1080,500,9444,0,,9444,1,9444,
4B,57419,13711,13827,116,1044,6500,1080,500,9124,0,,9124,1,9124,
4C,57440,14714,14860,146,1314,7000,1080,500,9894,0,,9894,1,9894,
5A,57413,15206,15291,85,765,7000,1080,500,9345,0,,9345,1,9345,
5B,57439,18467,18521,54,486,7000,1080,500,9066,0,,9066,1,9066,
5C,57420,21463,21643,180,1620,7000,1080,500,10200,0,,10200,1,10200,
6A,57417,9331,9405,74,666,7000,1080,500,9246,0,,9246,1,9246,
6B,57411,10700,10796,96,864,7000,1080,500,9444,0,,9444,1,9444,
6C,57418,13438,13748,310,3100,7000,1080,500,11680,0,,11680,1,11680,
7A,10368023,20550,20630,80,720,7000,1080,500,9300,0,,9351,1,9351,
7B,43256,13819,14004,185,1665,7000,1080,500,10245,0,,10245,1,10245,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
1A,,4937,5035,98,882,5500,1080,400,7862,0,,7862,1,7862,
1B,,9060,9108,48,432,7500,1080,400,9412,0,,12000,1,12000,
2A,,19956,20224,268,2680,,1080,400,4160,0,,4160,1,4160,
2B,,9111,9518,407,4070,7000,1080,400,12550,0,,12550,1,12550,
3A,,5989,6124,135,1215,8000,1080,400,10695,0,,10695,1,10695,
3B,,6449,6504,55,495,7000,1080,400,8975,0,,8975,1,8975,
,, ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,148500,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Bill to give,Bill taken,,,,,,,,
,,,,,,34982,27103,,,,,,,,
,,,,,,without 1 meter,,,,,,,,,
,,,,,,29499,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Units,,,,,,,,,
,,,,,,3124,28116,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,9.442701665,,,,,,,,,
